id	graph_source	obsp_key	knn_k	radius_strategy	radius_percentile	max_radius_multiplier	repair_isolates	graph_scope	hidden_dim	num_layers	dropout	aggr	lr	weight_decay	epochs	patience	val_fraction	val_strategy	val_axis	standardize	seed
0	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	128	2	0.2	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
1	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	2	0.2	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
2	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	3	0.3	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
3	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	2	0.2	max	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
4	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	512	2	0.3	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
5	obsp	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	512	3	0.3	mean	0.003	0.0001	500	40	0.15	spatial_band	auto	1	666
6	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	128	2	0.2	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
7	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	2	0.2	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
8	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	3	0.3	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
9	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	256	2	0.2	max	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
10	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	512	2	0.3	mean	0.005	0.0001	500	40	0.15	spatial_band	auto	1	666
11	radius_capped_knn	spatial_connectivities	6	kth_neighbor_percentile	90	5	1	within_split	512	3	0.3	mean	0.003	0.0001	500	40	0.15	spatial_band	auto	1	666
